,Country,GDP_USD_millions,GDP_USD_billions
188,Sint Maarten,0.0,0.0
189,Comoros,1422.0,1.42
190,Grenada,1406.0,1.41
191,Turks and Caicos Islands,0.0,0.0
192,Vanuatu,1289.0,1.29
193,Saint Kitts and Nevis,1134.0,1.13
194,Saint Vincent and the Grenadines,1128.0,1.13
195,Samoa,1024.0,1.02
196,São Tomé and Príncipe,751.0,0.75
197,Dominica,708.0,0.71
198,Tonga,581.0,0.58
199,Micronesia,484.0,0.48
200,Kiribati,311.0,0.31
201,Palau,308.0,0.31
202,Marshall Islands,305.0,0.3
203,Nauru,161.0,0.16
204,Tuvalu,66.0,0.07
